logname,AI,shoot,TRUE,deleted,get,"get, horse","get, shield","get, coin_v_1","Name, get, horse","Name, get, shield","Name, get, coin_v_1","gen, horse","gen, shield",Remake,"Name, shoot","shoot, Name","Name, shoot, Name","Name, get",LevelTime
2022-03-01-16-47-22.log,50,163,8,34,56,8,9,38,0,0,0,23,18,0,0,0,0,0,63
2022-03-01-16-29-51.log,50,166,7,35,48,3,6,38,0,0,0,17,24,0,0,0,0,0,59
2022-03-01-17-04-10.log,64,155,6,50,68,20,15,32,0,0,0,30,25,0,0,0,0,0,58
2022-03-01-16-28-39.log,34,119,4,22,38,2,0,35,0,0,0,14,11,0,0,0,0,0,50
2022-03-01-16-44-38.log,26,95,3,15,42,1,1,39,0,0,0,10,7,0,0,0,0,0,50
2022-03-01-16-26-29.log,33,122,5,20,35,1,2,31,0,0,0,11,13,0,0,0,0,0,49
2022-03-01-17-43-03.log,47,86,1,38,53,8,12,32,0,0,0,15,23,0,0,0,0,0,47
2022-03-01-18-10-14.log,34,104,4,22,37,3,2,31,0,0,0,13,12,0,0,0,0,0,46
2022-03-01-16-41-27.log,37,93,4,26,39,5,7,26,0,0,0,15,14,0,0,0,0,0,44
2022-03-01-17-59-39.log,31,128,7,16,38,2,3,32,0,0,0,9,13,0,0,0,0,0,44
2022-03-01-18-12-53.log,31,90,2,21,34,1,0,32,0,0,0,8,14,0,0,0,0,0,43
2022-03-01-17-41-32.log,33,110,3,22,41,1,4,35,0,0,0,11,13,0,0,0,0,0,42
2022-03-01-17-02-38.log,27,116,3,16,25,0,0,24,0,0,0,11,7,0,0,0,0,0,40
2022-03-01-18-06-49.log,24,60,3,13,34,1,0,32,0,0,0,9,6,0,0,0,0,0,40
2022-03-01-16-40-25.log,27,79,2,17,28,3,4,20,0,0,0,8,10,0,0,0,0,0,39
2022-03-01-16-46-42.log,34,94,4,22,39,3,7,28,0,0,0,11,14,0,0,0,0,0,39
2022-03-01-16-56-12.log,65,134,5,53,64,15,17,31,0,0,0,26,31,0,0,0,0,0,39
2022-03-01-18-13-37.log,43,70,3,32,44,5,11,27,0,0,0,14,20,0,0,0,0,0,39
2022-03-01-16-35-53.log,24,77,2,14,28,0,1,26,0,0,0,7,8,0,0,0,0,0,38
2022-03-01-16-53-53.log,21,94,3,10,27,0,0,26,0,0,0,6,6,0,0,0,0,0,38
2022-03-01-18-00-24.log,38,69,3,27,37,2,10,24,0,0,0,4,25,0,0,0,0,0,38
2022-03-01-16-51-05.log,37,70,2,27,43,9,8,25,0,0,0,14,14,0,0,0,0,0,37
2022-03-01-17-00-38.log,27,68,3,16,37,0,2,34,0,0,0,7,11,0,0,0,0,0,37
2022-03-01-17-52-12.log,24,88,3,13,36,2,1,32,0,0,0,7,8,0,0,0,0,0,37
2022-03-01-17-48-44.log,33,79,2,23,39,5,5,28,0,0,0,13,11,0,0,0,0,0,36
2022-03-01-17-54-39.log,22,66,3,11,27,0,0,26,0,0,0,10,3,0,0,0,0,0,36
2022-03-01-16-37-28.log,29,53,1,20,32,3,4,24,0,0,0,9,11,0,0,0,0,0,35
2022-03-01-17-39-46.log,27,70,3,16,34,2,1,30,0,0,0,13,5,0,0,0,0,0,35
2022-03-01-16-55-36.log,25,107,5,12,32,2,1,28,0,0,0,11,5,0,0,0,0,0,34
2022-03-01-16-57-41.log,24,54,1,15,24,0,0,23,0,0,0,7,8,0,0,0,0,0,34
2022-03-01-17-40-42.log,26,65,2,16,28,1,1,25,0,0,0,9,8,0,0,0,0,0,34
2022-03-01-17-50-21.log,31,74,3,20,29,2,3,23,0,0,0,12,10,0,0,0,0,0,34
2022-03-01-18-11-47.log,30,64,3,19,28,1,1,25,0,0,0,7,14,0,0,0,0,0,34
2022-03-01-18-15-55.log,29,76,3,18,31,3,2,25,0,0,0,10,10,0,0,0,0,0,34
2022-03-01-18-02-30.log,28,87,4,17,32,3,3,25,0,0,0,9,11,0,0,0,0,0,33
2022-03-01-16-45-29.log,39,65,2,29,30,5,8,16,0,0,0,10,20,0,0,0,0,0,32
2022-03-01-17-02-04.log,27,76,3,16,22,0,2,19,0,0,0,9,9,0,0,0,0,0,32
2022-03-01-17-05-09.log,33,64,2,23,33,3,6,23,0,0,0,10,14,0,0,0,0,0,32
2022-03-01-17-06-48.log,24,61,1,15,22,1,1,19,0,0,0,9,6,0,0,0,0,0,32
2022-03-01-16-52-12.log,23,65,2,13,29,0,2,26,0,0,0,4,10,0,0,0,0,0,31
2022-03-01-16-55-05.log,22,74,3,11,31,0,2,28,0,0,0,7,6,0,0,0,0,0,31
2022-03-01-16-56-52.log,31,87,2,21,39,6,4,28,0,0,0,10,12,0,0,0,0,0,31
2022-03-01-17-00-06.log,21,67,1,12,29,0,1,27,0,0,0,6,6,0,0,0,0,0,31
2022-03-01-17-07-21.log,19,57,2,9,36,0,1,34,0,0,0,4,6,0,0,0,0,0,31
2022-03-01-18-05-55.log,32,66,3,21,21,3,0,17,0,0,0,13,10,0,0,0,0,0,31
2022-03-01-16-33-46.log,33,62,2,23,46,3,7,35,0,0,0,9,15,0,0,0,0,0,30
2022-03-01-16-34-43.log,46,74,2,36,40,11,8,20,0,0,0,18,19,0,0,0,0,0,30
2022-03-01-16-58-16.log,21,42,1,12,28,0,0,27,0,0,0,4,8,0,0,0,0,0,30
2022-03-01-17-56-37.log,23,73,3,13,25,0,0,24,0,0,0,7,8,0,0,0,0,0,30
2022-03-01-17-58-26.log,28,57,2,18,27,3,3,20,0,0,0,10,9,0,0,0,0,0,30
2022-03-01-18-12-22.log,24,72,4,13,20,1,1,17,0,0,0,4,12,0,0,0,0,0,30
2022-03-01-16-53-05.log,16,69,2,6,27,0,0,26,0,0,0,2,5,0,0,0,0,0,29
2022-03-01-16-59-11.log,16,67,2,6,27,1,0,25,0,0,0,4,3,0,0,0,0,0,29
2022-03-01-17-03-39.log,35,83,2,25,32,12,2,17,0,0,0,18,8,0,0,0,0,0,29
2022-03-01-17-50-57.log,25,81,3,14,33,2,0,30,0,0,0,7,9,0,0,0,0,0,29
2022-03-01-17-57-36.log,30,58,2,20,31,1,5,24,0,0,0,11,10,0,0,0,0,0,29
2022-03-01-16-43-48.log,29,80,4,17,33,2,7,23,0,0,0,7,13,0,0,0,0,0,28
2022-03-01-16-51-43.log,25,67,2,16,27,2,3,21,0,0,0,5,12,0,0,0,0,0,28
2022-03-01-17-01-16.log,19,51,1,10,29,0,0,28,0,0,0,6,4,0,0,0,0,0,28
2022-03-01-17-47-45.log,21,80,2,11,27,1,0,25,0,0,0,8,4,0,0,0,0,0,28
2022-03-01-17-48-15.log,24,75,3,13,28,2,0,25,0,0,0,6,9,0,0,0,0,0,28
2022-03-01-18-15-01.log,29,64,2,19,31,2,1,27,0,0,0,13,7,0,0,0,0,0,28
2022-03-01-18-20-01.log,28,45,1,19,31,3,3,24,0,0,0,9,10,0,0,0,0,0,28
2022-03-01-16-49-35.log,26,64,2,16,29,4,1,23,0,0,0,10,7,0,0,0,0,0,27
2022-03-01-17-45-43.log,18,57,2,8,31,0,0,30,0,0,0,2,7,0,0,0,0,0,27
2022-03-01-17-53-17.log,23,49,1,14,23,0,1,21,0,0,0,5,9,0,0,0,0,0,27
2022-03-01-17-53-59.log,40,95,3,29,30,5,9,15,0,0,0,10,21,0,0,0,0,0,27
2022-03-01-17-57-08.log,27,89,5,14,28,2,2,23,0,0,0,10,8,0,0,0,0,0,27
2022-03-01-18-02-02.log,30,65,3,19,30,1,4,24,0,0,0,10,11,0,0,0,0,0,27
2022-03-01-18-03-49.log,18,56,1,9,24,0,0,23,0,0,0,8,1,0,0,0,0,0,27
2022-03-01-17-06-04.log,20,57,2,10,19,0,0,18,0,0,0,7,4,0,0,0,0,0,26
2022-03-01-17-49-32.log,19,49,2,9,30,0,1,28,0,0,0,4,6,0,0,0,0,0,26
2022-03-01-17-56-09.log,20,44,1,11,28,0,0,27,0,0,0,6,5,0,0,0,0,0,26
2022-03-01-16-36-49.log,24,65,2,14,25,1,0,23,0,0,0,9,6,0,0,0,0,0,25
2022-03-01-17-52-50.log,24,73,4,12,25,1,0,23,0,0,0,9,6,0,0,0,0,0,25
2022-03-01-18-07-52.log,23,42,1,14,19,0,0,18,0,0,0,7,7,0,0,0,0,0,25
2022-03-01-18-09-32.log,28,60,2,18,26,3,2,20,0,0,0,11,8,0,0,0,0,0,25
2022-03-01-18-11-01.log,19,73,4,8,23,0,1,21,0,0,0,6,5,0,0,0,0,0,25
2022-03-01-16-31-39.log,17,45,2,8,23,0,1,21,0,0,0,3,6,0,0,0,0,0,24
2022-03-01-16-34-18.log,24,52,2,14,27,0,2,24,0,0,0,4,11,0,0,0,0,0,24
2022-03-01-16-35-28.log,31,49,1,22,28,6,2,19,0,0,0,12,10,0,0,0,0,0,24
2022-03-01-16-38-44.log,25,50,2,15,24,0,1,22,0,0,0,6,10,0,0,0,0,0,24
2022-03-01-17-08-53.log,20,64,2,10,25,0,0,24,0,0,0,4,7,0,0,0,0,0,24
2022-03-01-17-42-15.log,17,57,3,6,20,1,0,18,0,0,0,5,3,0,0,0,0,0,24
2022-03-01-18-08-18.log,19,47,2,9,24,1,0,22,0,0,0,4,6,0,0,0,0,0,24
2022-03-01-18-16-47.log,15,41,1,6,26,0,0,25,0,0,0,3,3,0,0,0,0,0,24
2022-03-01-18-19-22.log,19,47,2,9,23,2,0,20,0,0,0,6,4,0,0,0,0,0,24
2022-03-01-16-28-16.log,20,47,1,11,16,0,1,14,0,0,0,6,5,0,0,0,0,0,23
2022-03-01-16-42-34.log,24,54,2,14,20,0,1,18,0,0,0,5,10,0,0,0,0,0,23
2022-03-01-16-48-47.log,17,56,1,8,26,0,0,25,0,0,0,6,2,0,0,0,0,0,23
2022-03-01-16-49-11.log,22,35,1,13,23,0,0,22,0,0,0,10,3,0,0,0,0,0,23
2022-03-01-16-50-17.log,16,59,1,7,24,0,0,23,0,0,0,0,7,0,0,0,0,0,23
2022-03-01-16-50-41.log,23,44,2,13,26,2,0,23,0,0,0,8,6,0,0,0,0,0,23
2022-03-01-16-59-42.log,17,54,1,8,23,0,0,22,0,0,0,3,5,0,0,0,0,0,23
2022-03-01-17-44-43.log,22,41,1,13,28,0,0,27,0,0,0,8,5,0,0,0,0,0,23
2022-03-01-17-55-45.log,19,62,2,9,21,0,1,19,0,0,0,7,3,0,0,0,0,0,23
2022-03-01-18-01-21.log,19,33,1,10,22,0,0,21,0,0,0,6,4,0,0,0,0,0,23
2022-03-01-18-15-30.log,17,49,1,8,28,0,0,27,0,0,0,4,4,0,0,0,0,0,23
2022-03-01-16-33-06.log,18,63,3,7,27,0,0,26,0,0,0,6,3,0,0,0,0,0,22
2022-03-01-16-38-21.log,20,52,1,11,16,1,0,14,0,0,0,8,3,0,0,0,0,0,22
2022-03-01-17-42-40.log,24,54,1,15,22,1,1,19,0,0,0,10,5,0,0,0,0,0,22
2022-03-01-16-27-34.log,23,42,1,14,18,1,0,16,0,0,0,7,7,0,0,0,0,0,21
2022-03-01-16-42-12.log,20,48,1,11,24,1,0,22,0,0,0,7,4,0,0,0,0,0,21
2022-03-01-16-43-26.log,17,44,1,8,27,0,0,26,0,0,0,3,5,0,0,0,0,0,21
2022-03-01-16-46-20.log,19,55,2,9,21,1,0,19,0,0,0,5,5,0,0,0,0,0,21
2022-03-01-17-05-42.log,24,32,1,15,24,0,2,21,0,0,0,7,8,0,0,0,0,0,21
2022-03-01-17-08-10.log,20,39,1,11,26,1,1,23,0,0,0,6,5,0,0,0,0,0,21
2022-03-01-17-46-30.log,15,68,3,4,29,0,2,26,0,0,0,1,5,0,0,0,0,0,21
2022-03-01-17-49-59.log,23,48,2,13,26,0,3,22,0,0,0,4,10,0,0,0,0,0,21
2022-03-01-18-04-53.log,18,54,2,8,24,0,1,22,0,0,0,7,2,0,0,0,0,0,21
2022-03-01-18-05-15.log,30,51,2,20,24,5,1,17,0,0,0,12,9,0,0,0,0,0,21
2022-03-01-18-06-27.log,16,47,2,6,30,0,0,29,0,0,0,4,3,0,0,0,0,0,21
2022-03-01-18-21-32.log,20,49,1,11,20,0,0,19,0,0,0,4,7,0,0,0,0,0,21
2022-03-01-16-41-05.log,13,49,2,3,22,0,0,21,0,0,0,1,3,0,0,0,0,0,20
2022-03-01-16-52-44.log,16,36,1,7,24,0,0,23,0,0,0,2,5,0,0,0,0,0,20
2022-03-01-17-03-18.log,16,57,2,6,24,0,1,22,0,0,0,4,3,0,0,0,0,0,20
