logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,"Player, shoot","shoot, Player","Player, shoot, Player","Player, get",LevelTime,,
2022-02-17-09-52-24.log,33,127,6,19,3,1,2,0,18,12,1,1,44,0.141732283,0.333333333
2022-02-17-09-53-10.log,31,117,7,17,4,2,2,0,18,11,1,2,42,0.153846154,0.5
2022-02-17-10-19-27.log,28,133,7,14,5,2,3,0,19,11,1,3,41,0.142857143,0.6
2022-02-17-09-51-43.log,30,89,4,19,1,0,1,0,25,12,2,1,40,0.280898876,1
2022-02-17-10-26-00.log,33,82,5,21,5,4,1,0,18,13,3,1,40,0.219512195,0.2
2022-02-17-09-51-03.log,35,103,5,22,2,0,2,0,27,12,2,1,38,0.262135922,0.5
2022-02-17-10-00-02.log,25,115,5,12,4,2,2,0,36,11,0,4,36,0.313043478,1
2022-02-17-09-59-25.log,26,90,3,15,2,1,1,0,18,12,0,2,35,0.2,1
2022-02-17-09-53-54.log,26,96,5,14,3,1,2,0,13,11,1,3,33,0.135416667,1
2022-02-17-10-22-14.log,24,84,4,12,3,3,0,0,12,12,0,1,33,0.142857143,0.333333333
2022-02-17-09-55-49.log,22,91,4,10,3,3,0,0,14,11,4,1,30,0.153846154,0.333333333
2022-02-17-09-54-30.log,22,75,4,11,0,0,0,0,21,12,0,0,29,0.28,
2022-02-17-10-29-00.log,22,94,6,8,2,1,1,0,28,11,4,1,28,0.29787234,0.5
2022-02-17-09-55-22.log,22,82,4,10,3,1,2,0,15,11,1,2,25,0.182926829,0.666666667
2022-02-17-10-20-30.log,23,76,2,13,1,1,0,0,20,10,4,1,25,0.263157895,1
2022-02-17-10-23-10.log,21,70,4,9,2,1,1,0,17,10,3,1,21,0.242857143,0.5
2022-02-17-09-50-03.log,17,48,1,8,0,0,0,0,7,10,2,0,19,0.145833333,
2022-02-17-09-55-00.log,14,49,2,5,1,0,1,0,11,11,0,0,19,0.224489796,0
2022-02-17-09-58-07.log,16,48,1,7,0,0,0,0,9,10,1,0,19,0.1875,
2022-02-17-10-23-48.log,20,58,3,10,2,2,0,0,12,10,3,1,19,0.206896552,0.5
2022-02-17-09-50-43.log,14,43,1,5,0,0,0,0,12,11,0,0,18,0.279069767,
2022-02-17-09-57-48.log,16,61,2,6,1,1,0,0,11,10,0,0,18,0.180327869,0
2022-02-17-10-00-39.log,15,74,4,4,1,1,0,0,5,11,1,0,18,0.067567568,0
2022-02-17-10-20-10.log,18,62,3,7,2,2,0,0,10,10,3,2,18,0.161290323,1
2022-02-17-09-56-54.log,15,53,3,5,1,1,0,0,9,10,1,1,17,0.169811321,1
2022-02-17-09-57-13.log,14,59,2,5,1,1,0,0,8,10,3,0,17,0.13559322,0
2022-02-17-09-56-20.log,11,54,3,2,0,0,0,0,8,10,0,0,16,0.148148148,
2022-02-17-09-50-27.log,17,45,2,7,1,1,0,0,6,11,1,1,14,0.133333333,1
2022-02-17-09-56-38.log,12,67,3,1,1,1,0,0,10,10,3,1,14,0.149253731,1
2022-02-17-10-22-56.log,13,45,1,4,0,0,0,0,10,10,1,0,12,0.222222222,
2022-02-17-10-28-46.log,11,46,2,1,1,0,1,0,10,10,0,0,12,0.217391304,0
2022-02-17-10-23-33.log,10,49,3,1,0,0,0,0,10,10,1,0,11,0.204081633,
