Game Time: 2022/2/17 10:23:33
Version: 1.0.0.2 with bullet collision times = 3
0, Player, player
0, Coward1, AI
0, Betrayal2, AI
0, Drunkard3, AI
0, Foe4, AI
0, Juicehead5, AI
0, Alcoholic6, AI
0, Lush7, AI
0, Adjuster8, AI
0, Bongfu9, AI
1.196579, Alcoholic6, shoot, Betrayal2, False
1.796579, Player, shoot, Coward1, False
2.396579, Foe4, shoot, Adjuster8, False
2.496579, Drunkard3, shoot, Betrayal2, False
3.096579, Adjuster8, shoot, Bongfu9, False
3.336579, Betrayal2, shoot, Player, False
3.596579, Foe4, shoot, Adjuster8, False
3.596579, Bongfu9, shoot, Adjuster8, False
3.616579, Player, shoot, Coward1, False
4.820644, Juicehead5, deleted 
4.820644, Juicehead10, AI
4.896579, Bongfu9, shoot, Coward1, False
5.096579, Player, shoot, Adjuster8, False
5.396579, Adjuster8, shoot, Player, False
5.396579, Adjuster8, shoot, Player, False
5.396579, Adjuster8, shoot, Player, False
5.396579, Bongfu9, shoot, Drunkard3, False
5.416579, Coward1, shoot, Bongfu9, False
5.416579, Coward1, shoot, Drunkard3, False
5.536579, Adjuster8, shoot, Bongfu9, False
6.096579, Adjuster8, shoot, Foe4, False
6.096579, Drunkard3, shoot, Player, False
6.136579, Player, shoot, Foe4, False
6.176579, Coward1, shoot, Betrayal2, False
6.256579, Adjuster8, shoot, Player, False
6.896579, Adjuster8, shoot, Player, False
6.896579, Player, shoot, Adjuster8, False
7.436579, Player, shoot, Betrayal2, False
7.476579, Player, shoot, Foe4, False
7.536579, Betrayal2, shoot, Player, False
7.896579, Coward1, shoot, Bongfu9, False
8.316579, Adjuster8, shoot, Drunkard3, False
8.496578, Coward1, shoot, Bongfu9, False
8.736579, Adjuster8, shoot, Foe4, False
8.876578, Player, shoot, Adjuster8, False
9.016579, Adjuster8, shoot, Foe4, False
9.016579, Adjuster8, shoot, Foe4, False
9.576578, Player, shoot, Player, False
9.596579, Foe4, shoot, Adjuster8, False
10.19658, Foe4, shoot, Player, True
10.33658, Juicehead10, shoot, Juicehead10, False
10.33658, Player, shoot, Adjuster8, False
10.69658, Foe4, shoot, Betrayal2, False
10.79658, Adjuster8, shoot, Foe4, False
10.79658, Foe4, shoot, Adjuster8, False
10.79658, Foe4, shoot, Adjuster8, True
10.83658, Adjuster8, shoot, Foe4, False
10.83658, Adjuster8, shoot, Foe4, False
10.83658, Adjuster8, shoot, Foe4, True
10.95658, Betrayal2, shoot, Juicehead10, False
11.19658, Drunkard3, shoot, Drunkard3, False
Normal Close
