Game Time: 2022/2/17 10:28:46
Version: 1.0.0.2 with bullet collision times = 3
0, Player, player
0, Coward1, AI
0, Betrayal2, AI
0, Drunkard3, AI
0, Foe4, AI
0, Juicehead5, AI
0, Alcoholic6, AI
0, Lush7, AI
0, Adjuster8, AI
0, Bongfu9, AI
2.096867, Foe4, shoot, Lush7, False
2.116867, Lush7, shoot, Adjuster8, False
3.376867, Bongfu9, shoot, Foe4, False
3.596867, Alcoholic6, shoot, Foe4, False
3.596867, Foe4, shoot, Alcoholic6, False
3.616867, Adjuster8, shoot, Lush7, False
3.936867, Betrayal2, shoot, Bongfu9, False
3.976867, Adjuster8, shoot, Player, False
4.016867, Lush7, shoot, Coward1, False
4.196867, Foe4, shoot, Alcoholic6, False
4.376867, Lush7, shoot, Player, False
4.596867, Lush7, shoot, Player, False
4.816867, Drunkard3, shoot, Drunkard3, False
4.856867, Coward1, shoot, Lush7, False
4.856867, Bongfu9, shoot, Foe4, False
5.016867, Adjuster8, shoot, Coward1, False
5.536867, Coward1, shoot, Adjuster8, False
6.136867, Foe4, shoot, Foe4, False
6.356867, Juicehead5, shoot, Drunkard3, False
6.676867, Alcoholic6, shoot, Alcoholic6, False
7.256866, Player, shoot, Adjuster8, False
7.796866, Player, shoot, Foe4, False
7.796866, Adjuster8, shoot, Foe4, False
7.796866, Coward1, shoot, Adjuster8, False
7.796866, Foe4, shoot, Adjuster8, False
8.756866, Adjuster8, shoot, Player, False
8.896867, Coward1, shoot, Coward1, False
9.016867, Player, shoot, Foe4, False
9.183744, Lush7, deleted 
9.183744, Lush10, AI
9.656867, Player, shoot, Coward1, False
9.676867, Adjuster8, shoot, Player, False
9.696867, Player, shoot, Foe4, False
10.51687, Player, shoot, Adjuster8, False
10.79687, Adjuster8, shoot, Player, False
10.79687, Player, shoot, Adjuster8, False
10.91687, Lush10, shoot, Lush10, False
11.01687, Player, shoot, Foe4, False
11.17687, Bongfu9, shoot, Alcoholic6, False
11.43687, Foe4, shoot, Lush10, False
11.87687, Foe4, shoot, Bongfu9, False
12.09687, Alcoholic6, shoot, Bongfu9, False
12.29687, Foe4, shoot, Player, False
12.29687, Foe4, shoot, Player, False
12.29687, Player, shoot, Foe4, True
12.30725, Foe11, AI
12.31687, Adjuster8, shoot, Player, False
12.31687, Adjuster8, shoot, Player, True
12.45687, Adjuster8, get, Shield
12.69687, Player, shoot, Lush10, False
Normal Close
