logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,LevelTime,,,
2022-02-17-09-52-24.log,33,127,6,19,3,1,2,0,44,2.886363636,0.136363636,0.068181818
2022-02-17-09-53-10.log,31,117,7,17,4,2,2,0,42,2.785714286,0.166666667,0.095238095
2022-02-17-10-19-27.log,28,133,7,14,5,2,3,0,41,3.243902439,0.170731707,0.12195122
2022-02-17-09-51-43.log,30,89,4,19,1,0,1,0,40,2.225,0.1,0.025
2022-02-17-10-26-00.log,33,82,5,21,5,4,1,0,40,2.05,0.125,0.125
2022-02-17-09-51-03.log,35,103,5,22,2,0,2,0,38,2.710526316,0.131578947,0.052631579
2022-02-17-10-00-02.log,25,115,5,12,4,2,2,0,36,3.194444444,0.138888889,0.111111111
2022-02-17-09-59-25.log,26,90,3,15,2,1,1,0,35,2.571428571,0.085714286,0.057142857
2022-02-17-09-53-54.log,26,96,5,14,3,1,2,0,33,2.909090909,0.151515152,0.090909091
2022-02-17-10-22-14.log,24,84,4,12,3,3,0,0,33,2.545454545,0.121212121,0.090909091
2022-02-17-09-55-49.log,22,91,4,10,3,3,0,0,30,3.033333333,0.133333333,0.1
2022-02-17-09-54-30.log,22,75,4,11,0,0,0,0,29,2.586206897,0.137931034,0
2022-02-17-10-29-00.log,22,94,6,8,2,1,1,0,28,3.357142857,0.214285714,0.071428571
2022-02-17-09-55-22.log,22,82,4,10,3,1,2,0,25,3.28,0.16,0.12
2022-02-17-10-20-30.log,23,76,2,13,1,1,0,0,25,3.04,0.08,0.04
2022-02-17-10-23-10.log,21,70,4,9,2,1,1,0,21,3.333333333,0.19047619,0.095238095
2022-02-17-09-50-03.log,17,48,1,8,0,0,0,0,19,2.526315789,0.052631579,0
2022-02-17-09-55-00.log,14,49,2,5,1,0,1,0,19,2.578947368,0.105263158,0.052631579
2022-02-17-09-58-07.log,16,48,1,7,0,0,0,0,19,2.526315789,0.052631579,0
2022-02-17-10-23-48.log,20,58,3,10,2,2,0,0,19,3.052631579,0.157894737,0.105263158
2022-02-17-09-50-43.log,14,43,1,5,0,0,0,0,18,2.388888889,0.055555556,0
2022-02-17-09-57-48.log,16,61,2,6,1,1,0,0,18,3.388888889,0.111111111,0.055555556
2022-02-17-10-00-39.log,15,74,4,4,1,1,0,0,18,4.111111111,0.222222222,0.055555556
2022-02-17-10-20-10.log,18,62,3,7,2,2,0,0,18,3.444444444,0.166666667,0.111111111
2022-02-17-09-56-54.log,15,53,3,5,1,1,0,0,17,3.117647059,0.176470588,0.058823529
2022-02-17-09-57-13.log,14,59,2,5,1,1,0,0,17,3.470588235,0.117647059,0.058823529
2022-02-17-09-56-20.log,11,54,3,2,0,0,0,0,16,3.375,0.1875,0
2022-02-17-09-50-27.log,17,45,2,7,1,1,0,0,14,3.214285714,0.142857143,0.071428571
2022-02-17-09-56-38.log,12,67,3,1,1,1,0,0,14,4.785714286,0.214285714,0.071428571
2022-02-17-10-22-56.log,13,45,1,4,0,0,0,0,12,3.75,0.083333333,0
2022-02-17-10-28-46.log,11,46,2,1,1,0,1,0,12,3.833333333,0.166666667,0.083333333
2022-02-17-10-23-33.log,10,49,3,1,0,0,0,0,11,4.454545455,0.272727273,0
