logname,PlayerShoot,ShootPlayer,PSP,PlayGet,LevelTime
2022-02-17-09-52-24.log,18,12,1,1,44
2022-02-17-09-53-10.log,18,11,1,2,42
2022-02-17-10-19-27.log,19,11,1,3,41
2022-02-17-09-51-43.log,25,12,2,1,40
2022-02-17-10-26-00.log,18,13,3,1,40
2022-02-17-09-51-03.log,27,12,2,1,38
2022-02-17-10-00-02.log,36,11,0,4,36
2022-02-17-09-59-25.log,18,12,0,2,35
2022-02-17-09-53-54.log,13,11,1,3,33
2022-02-17-10-22-14.log,12,12,0,1,33
2022-02-17-09-55-49.log,14,11,4,1,30
2022-02-17-09-54-30.log,21,12,0,0,29
2022-02-17-10-29-00.log,28,11,4,1,28
2022-02-17-09-55-22.log,15,11,1,2,25
2022-02-17-10-20-30.log,20,10,4,1,25
2022-02-17-10-23-10.log,17,10,3,1,21
2022-02-17-09-50-03.log,7,10,2,0,19
2022-02-17-09-55-00.log,11,11,0,0,19
2022-02-17-09-58-07.log,9,10,1,0,19
2022-02-17-10-23-48.log,12,10,3,1,19
2022-02-17-09-50-43.log,12,11,0,0,18
2022-02-17-09-57-48.log,11,10,0,0,18
2022-02-17-10-00-39.log,5,11,1,0,18
2022-02-17-10-20-10.log,10,10,3,2,18
2022-02-17-09-56-54.log,9,10,1,1,17
2022-02-17-09-57-13.log,8,10,3,0,17
2022-02-17-09-56-20.log,8,10,0,0,16
2022-02-17-09-50-27.log,6,11,1,1,14
2022-02-17-09-56-38.log,10,10,3,1,14
2022-02-17-10-22-56.log,10,10,1,0,12
2022-02-17-10-28-46.log,10,10,0,0,12
2022-02-17-10-23-33.log,10,10,1,0,11
