logname,initAI,shoot,TRUE,delete,get,Horse,Shield,Remake,LevelTime,,
2022-02-16-04-49-25.log,249,565,12,229,5,2,3,0,324,1.74382716,0.037037037
2022-02-16-05-06-15.log,134,320,7,119,1,0,1,0,178,1.797752809,0.039325843
2022-02-16-05-13-54.log,112,271,8,96,1,0,1,0,156,1.737179487,0.051282051
2022-02-16-05-03-50.log,116,255,7,101,2,1,1,0,143,1.783216783,0.048951049
2022-02-16-05-18-55.log,100,205,4,88,1,1,0,0,124,1.653225806,0.032258065
2022-02-16-04-58-57.log,85,268,10,67,3,0,3,0,117,2.290598291,0.085470085
2022-02-16-04-30-27.log,72,214,5,59,1,1,0,0,114,1.877192982,0.043859649
2022-02-16-04-40-19.log,90,172,3,79,1,1,0,0,112,1.535714286,0.026785714
2022-02-16-04-44-42.log,78,170,4,66,2,1,1,0,109,1.559633028,0.036697248
2022-02-16-05-21-10.log,77,196,6,63,0,0,0,0,106,1.849056604,0.056603774
2022-02-16-04-32-22.log,59,204,7,44,1,1,0,0,92,2.217391304,0.076086957
2022-02-16-04-57-24.log,51,185,7,36,2,2,0,0,91,2.032967033,0.076923077
2022-02-16-05-02-14.log,70,143,2,60,2,1,1,0,89,1.606741573,0.02247191
2022-02-16-04-43-08.log,69,170,4,57,1,0,1,0,88,1.931818182,0.045454545
2022-02-16-04-47-31.log,55,141,4,43,1,1,0,0,73,1.931506849,0.054794521
2022-02-16-05-11-32.log,46,132,4,34,1,1,0,0,70,1.885714286,0.057142857
2022-02-16-04-28-14.log,44,120,2,34,1,1,0,0,67,1.791044776,0.029850746
2022-02-16-05-12-46.log,58,108,2,48,0,0,0,0,66,1.636363636,0.03030303
2022-02-16-05-17-48.log,39,131,3,28,0,0,0,0,64,2.046875,0.046875
2022-02-16-04-33-57.log,37,141,5,24,2,2,0,0,59,2.389830508,0.084745763
2022-02-16-04-46-38.log,47,104,4,35,0,0,0,0,50,2.08,0.08
2022-02-16-05-16-58.log,34,66,1,25,0,0,0,0,43,1.534883721,0.023255814
2022-02-16-04-34-57.log,22,80,1,13,0,0,0,0,42,1.904761905,0.023809524
2022-02-16-05-01-30.log,34,108,3,23,0,0,0,0,42,2.571428571,0.071428571
2022-02-16-04-29-45.log,24,84,3,14,1,1,0,0,40,2.1,0.075
2022-02-16-05-10-51.log,34,59,1,25,0,0,0,0,39,1.512820513,0.025641026
2022-02-16-05-00-57.log,28,80,3,17,2,2,0,0,32,2.5,0.09375
2022-02-16-04-27-47.log,20,60,2,11,0,0,0,0,23,2.608695652,0.086956522
2022-02-16-04-48-49.log,20,44,1,11,0,0,0,0,23,1.913043478,0.043478261
2022-02-16-04-29-23.log,14,48,3,5,2,1,1,0,20,2.4,0.15
