Game Time: 2022/2/17 17:44:13
Version: 1.0.0.2 with bullet collision times = 2
0, Player, player
0, Coward1, AI
0, Betrayal2, AI
0, Drunkard3, AI
0, Foe4, AI
0, Juicehead5, AI
0, Alcoholic6, AI
0, Lush7, AI
0, Adjuster8, AI
0, Bongfu9, AI
0.3783774, Lush7, shoot, Lush7, False
0.3783774, Alcoholic6, shoot, Alcoholic6, False
0.4383774, Drunkard3, shoot, Drunkard3, False
0.5583774, Juicehead5, shoot, Juicehead5, False
1.898377, Drunkard3, shoot, Bongfu9, False
2.058377, Foe4, shoot, Lush7, False
2.118377, Player, shoot, Player, False
2.118377, Lush7, shoot, Adjuster8, False
2.878377, Juicehead5, shoot, Foe4, False
3.098377, Foe4, shoot, Adjuster8, False
3.138377, Player, shoot, Player, False
3.298377, Lush7, shoot, Alcoholic6, False
3.398377, Adjuster8, shoot, Player, False
3.478377, Player, shoot, Player, False
3.598377, Adjuster8, shoot, Player, False
3.598377, Player, shoot, Adjuster8, False
4.218377, Adjuster8, shoot, Foe4, False
4.418377, Player, shoot, Player, False
5.358377, Player, shoot, Player, False
5.398377, Adjuster8, shoot, Foe4, False
5.398377, Foe4, shoot, Adjuster8, False
5.498377, Drunkard3, shoot, Drunkard3, False
5.698377, Player, shoot, Player, False
6.118377, Drunkard3, shoot, Drunkard3, False
6.148033, Betrayal2, deleted 
6.148033, Betrayal10, AI
6.298377, Player, shoot, Player, False
6.678377, Player, shoot, Adjuster8, False
6.938377, Adjuster8, shoot, Player, True
7.378377, Foe4, shoot, Adjuster8, False
7.398377, Adjuster8, shoot, Adjuster8, False
7.498377, Lush7, shoot, Lush7, False
7.698377, Foe4, shoot, Drunkard3, False
7.918377, Adjuster8, shoot, Adjuster8, False
7.958377, Drunkard3, shoot, Drunkard3, False
Normal Close
