logname,AI,shoot,TRUE,delete,get,Horse,Shield,Remake,"Player, shoot","shoot, Player","Player, shoot, Player","Player, get",LevelTime
2022-02-17-05-42-18.log,40,123,4,28,4,2,2,0,28,14,1,0,58
2022-02-17-05-57-15.log,29,136,7,15,6,3,3,0,17,12,2,0,52
2022-02-17-05-50-36.log,35,92,4,23,6,6,0,0,14,11,0,0,49
2022-02-17-05-44-45.log,37,105,4,25,3,2,1,0,25,12,1,0,47
2022-02-17-05-43-19.log,38,117,4,26,11,5,6,0,19,13,4,0,46
2022-02-17-05-58-50.log,31,124,7,17,8,5,3,0,18,12,2,0,45
2022-02-17-05-45-47.log,30,152,9,13,4,4,0,0,15,13,1,0,44
2022-02-17-06-06-46.log,23,135,8,8,5,3,2,0,17,12,3,0,44
2022-02-17-06-00-38.log,29,86,5,16,5,2,3,0,21,12,3,0,42
2022-02-17-05-47-04.log,24,82,3,14,1,0,1,0,20,11,0,0,39
2022-02-17-06-05-39.log,31,79,3,20,7,5,2,0,8,11,0,0,39
2022-02-17-05-49-31.log,18,79,3,7,3,1,2,0,17,11,3,0,38
2022-02-17-06-01-23.log,26,99,4,14,2,0,2,0,14,13,2,0,36
2022-02-17-05-48-54.log,32,84,3,21,6,2,4,0,15,12,7,0,35
2022-02-17-05-47-47.log,22,84,4,10,3,2,1,0,16,11,3,0,34
2022-02-17-05-41-45.log,25,81,4,13,4,1,3,0,12,11,0,0,32
2022-02-17-05-48-22.log,19,59,2,9,1,0,1,0,10,11,4,0,30
2022-02-17-05-51-29.log,25,53,2,15,1,1,0,0,12,11,2,0,30
2022-02-17-05-46-34.log,23,64,3,12,1,1,0,0,14,11,3,0,29
2022-02-17-05-41-15.log,17,68,3,7,0,0,0,0,16,11,3,0,28
2022-02-17-05-56-47.log,16,59,3,7,0,0,0,0,10,10,2,0,25
2022-02-17-05-59-45.log,16,52,2,6,0,0,0,0,13,11,4,0,25
2022-02-17-05-50-10.log,16,60,2,7,0,0,0,0,14,11,1,0,24
2022-02-17-05-58-24.log,20,71,3,9,0,0,0,0,12,10,5,0,24
2022-02-17-06-06-21.log,24,69,4,12,2,2,0,0,14,10,3,0,23
2022-02-17-06-00-14.log,17,57,3,7,3,2,1,0,9,10,3,0,22
2022-02-17-05-44-23.log,19,39,1,10,1,1,0,0,7,10,0,0,20
2022-02-17-06-02-01.log,13,48,2,3,1,0,1,0,10,10,3,0,16
2022-02-17-05-45-34.log,11,48,3,2,0,0,0,0,13,10,7,0,10
2022-02-17-05-44-13.log,10,33,1,1,0,0,0,0,9,10,7,0,7
